Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
268.43911646,55,67,148.95,160.11,,,2962.595022360358,33.18551733325104,0.07409450151057433,2020-01-14 04:00:00+00:00,2020-01-16 04:00:00+00:00,2 days 00:00:00,core_long
64.28169786000001,67,74,160.11,172.962,147.338,172.962,817.5842074288685,8.564173467850368,0.07943770657672833,2020-01-16 04:00:00+00:00,2020-01-17 08:00:00+00:00,1 days 04:00:00,dip_buy_long
1e-08,79,93,172.06,163.3,,,-8.894144000000002e-08,1.3414400000000003e-09,-0.05169210740439383,2020-01-18 04:00:00+00:00,2020-01-20 12:00:00+00:00,2 days 08:00:00,core_long
241.16862432,79,97,172.06,168.42,,,-910.6990298081942,32.84523728338944,-0.02194694873881214,2020-01-18 04:00:00+00:00,2020-01-21 04:00:00+00:00,3 days 00:00:00,core_long
1e-08,97,116,168.42,159.41,,,-9.141131999999999e-08,1.31132e-09,-0.05427581047381551,2020-01-21 04:00:00+00:00,2020-01-24 08:00:00+00:00,3 days 04:00:00,core_long
244.2188549,97,121,168.42,159.15,,,-2295.9082930428312,31.999508119837202,-0.05581895261845373,2020-01-21 04:00:00+00:00,2020-01-25 04:00:00+00:00,4 days 00:00:00,core_long
252.67573625,121,157,159.15,183.78,,,6188.743347744612,34.66003609288501,0.15389775683317608,2020-01-25 04:00:00+00:00,2020-01-31 04:00:00+00:00,6 days 00:00:00,core_long
54.6101459,157,175,183.78,191.55,173.9994876970866,203.31102460582684,416.1221032187418,8.198730424258802,0.04146190009794325,2020-01-31 04:00:00+00:00,2020-02-03 04:00:00+00:00,3 days 00:00:00,pullback_struct_long
45.82641506,175,195,191.55,214.93978566754697,179.8701071662265,214.93978566754697,1064.418838311186,7.45118785426058,0.12125914775922707,2020-02-03 04:00:00+00:00,2020-02-06 12:00:00+00:00,3 days 08:00:00,pullback_struct_long
1e-08,199,279,217.39000000000001,253.74,,,3.6161548e-07,1.88452e-09,0.16634411886471326,2020-02-07 04:00:00+00:00,2020-02-20 12:00:00+00:00,13 days 08:00:00,core_long
199.08841503,199,283,217.39000000000001,262.29,,,8900.870342478369,38.19949236863617,0.20565862275173652,2020-02-07 04:00:00+00:00,2020-02-21 04:00:00+00:00,14 days 00:00:00,core_long
