case_id,asset,strategy,window,roundtrip_cost_bps,module,trades,pnl,win_rate_pct,profit_factor,avg_win_loss_ratio,max_consecutive_losses,avg_trade_pct
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,bear_core,30,10183.12025967055,56.666666666666664,1.4860135317153336,1.1363632889587845,3,2.2596584836994196
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,breakout_retest_long,5,916.5165705503125,40.0,1.2045380892735977,1.8068071339103966,2,0.6270513240173123
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,bull_trap_short,2,-896.8410409572543,0.0,0.0,,2,-0.6378853706323233
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,core_add_long,1,-1144.4732520864304,0.0,0.0,,1,-5.071885014684888
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,core_long,140,172124.38574762281,60.71428571428571,1.959956423453709,1.2682070975288706,4,1.836494790199257
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,crash_short,12,548.8492106213935,33.33333333333333,1.1620401886895861,2.3240803773791723,3,0.14481126627309493
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,dip_buy_long,3,1572.622001283921,33.33333333333333,6.252552479460971,12.505104958921942,2,2.025824127037417
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,meanrev_range_long,1,-780.3245438102446,0.0,0.0,,1,-1.1335043035306582
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,pullback_struct_long,105,3095.8252626198782,36.19047619047619,1.0516132600013577,1.854160221581341,7,0.05649537356460673
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,sweep_reversal_long,30,-5857.178917520753,23.333333333333332,0.6177698012883519,2.0298150613760138,6,-0.4772330165093703
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,sweep_reversal_short,12,5202.189004997439,58.333333333333336,5.710697896629065,4.079069926163618,2,1.5669265109713215
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,bear_core,31,13462.25607657501,48.38709677419355,1.3995705395923508,1.4928752422318408,2,0.8645998246740546
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,core_add_long,1,1217.88485360548,100.0,,,0,4.8831403661726185
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,core_long,155,183304.88570339297,50.32258064516129,1.3397897379241583,1.3226129464123102,5,1.9949234883133438
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,crash_short,19,-3144.017196472452,31.57894736842105,0.6891445148403488,1.4931464488207558,4,-2.050617771647625
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,dip_buy_long,6,3591.3567264304224,66.66666666666666,3.7944319685421544,1.8972159842710772,2,1.309376122376406
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,pullback_struct_long,63,22405.624944794232,38.095238095238095,1.4727660839648453,2.393244886442874,9,-0.08943867280419396
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,sweep_reversal_long,24,1663.559429581576,33.33333333333333,1.1373219368740557,2.2746438737481114,7,0.9382081779273154
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,sweep_reversal_short,5,-497.48134506598547,20.0,0.5715459447725462,2.2861837790901847,4,0.3178062700728704
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,bear_core,14,12573.717762059914,71.42857142857143,1.2623307490344782,0.5049322996137913,2,1.0805684198252208
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,breakout_retest_long,1,-3161.2540902305745,0.0,0.0,,1,-4.711362013565173
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,bull_trap_short,1,1571.7340589096748,100.0,,,0,7.009628028665673
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,core_add_long,1,-20145.44140550844,0.0,0.0,,1,-26.117749544274442
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,core_long,127,416725.68749624904,44.881889763779526,1.3685405215987883,1.6806637984546522,7,4.27176219045685
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,crash_short,20,9406.87198712039,55.00000000000001,1.8403771734426195,1.5057631419075976,2,2.3195763887125365
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,dip_buy_long,7,16963.38667344044,71.42857142857143,5.989060101521648,2.3956240406086593,1,4.170825411730841
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,pullback_struct_long,41,9051.066516170631,43.90243902439025,1.1749596118675543,1.5013372818307638,5,1.0522519800773242
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,sweep_reversal_long,19,-9082.45209869104,21.052631578947366,0.5498678005774971,2.0620042521656137,7,2.2637427244507164
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,sweep_reversal_short,11,-3559.022575086987,9.090909090909092,0.3032448800474141,3.0324488004741412,8,-1.9170616107233407
