case_id,asset,strategy,window,roundtrip_cost_bps,module,trades,pnl,win_rate_pct,profit_factor,avg_win_loss_ratio,max_consecutive_losses,avg_trade_pct
btc_dual_full_rt8bps,BTC,dual,full,8,bear_core,29,11936.485642189687,58.620689655172406,1.480353267100168,1.0449552473648243,3,2.0850858870459685
btc_dual_full_rt8bps,BTC,dual,full,8,breakout_retest_long,5,776.1687654860771,40.0,1.1334569791524678,1.7001854687287017,2,0.6270513240173126
btc_dual_full_rt8bps,BTC,dual,full,8,bull_trap_short,2,-1030.9934767056425,0.0,0.0,,2,-0.6378853706323232
btc_dual_full_rt8bps,BTC,dual,full,8,core_add_long,1,-1229.2867079259634,0.0,0.0,,1,-5.071885014684889
btc_dual_full_rt8bps,BTC,dual,full,8,core_long,135,281559.52791693946,60.74074074074074,2.4932550921939463,1.6114941449546238,3,2.517051434623829
btc_dual_full_rt8bps,BTC,dual,full,8,crash_short,11,2172.1254321708357,36.36363636363637,1.7584979969726235,3.077371494702091,3,0.3748361562329212
btc_dual_full_rt8bps,BTC,dual,full,8,dip_buy_long,4,2125.781228492031,50.0,7.080594424864136,7.080594424864136,2,1.990853745975972
btc_dual_full_rt8bps,BTC,dual,full,8,meanrev_range_long,1,-1071.7659254192063,0.0,0.0,,1,-1.1335043035306582
btc_dual_full_rt8bps,BTC,dual,full,8,pullback_struct_long,116,10505.82551413758,38.793103448275865,1.1343314375342595,1.789722934776276,6,0.2239116301820632
btc_dual_full_rt8bps,BTC,dual,full,8,sweep_reversal_long,34,-4536.386603166786,26.47058823529412,0.7998599011931401,2.221833058869834,6,-0.042452228881898424
btc_dual_full_rt8bps,BTC,dual,full,8,sweep_reversal_short,11,7558.248008894537,63.63636363636363,7.868612516248206,4.496350009284689,2,1.9732088406400157
eth_dual_full_rt8bps,ETH,dual,full,8,bear_core,31,20243.00381485928,54.83870967741935,1.5247340492645407,1.2556633346884452,2,0.963671699550301
eth_dual_full_rt8bps,ETH,dual,full,8,breakout_retest_long,1,2238.125778079871,100.0,,,0,2.933673140714403
eth_dual_full_rt8bps,ETH,dual,full,8,core_add_long,1,1270.3284057351814,100.0,,,0,4.883140366172619
eth_dual_full_rt8bps,ETH,dual,full,8,core_long,155,343914.8645935998,50.32258064516129,1.575021629812078,1.5548290448144872,5,2.664972786831135
eth_dual_full_rt8bps,ETH,dual,full,8,crash_short,21,-747.1841883890779,38.095238095238095,0.9454818585734982,1.5364080201819348,4,-1.4453206017021016
eth_dual_full_rt8bps,ETH,dual,full,8,dip_buy_long,7,4507.280130711583,71.42857142857143,4.362325592352104,1.7449302369408415,2,2.257146770275896
eth_dual_full_rt8bps,ETH,dual,full,8,pullback_struct_long,70,30556.558495439738,42.857142857142854,1.4921275390197533,1.989503385359671,6,0.25184668391295845
eth_dual_full_rt8bps,ETH,dual,full,8,sweep_reversal_long,23,861.649042056745,34.78260869565217,1.0577862851938309,1.983349284738433,6,0.8075215027975643
eth_dual_full_rt8bps,ETH,dual,full,8,sweep_reversal_short,5,-812.3355818805925,20.0,0.5316681177788727,2.1266724711154907,4,0.3178062700728706
sol_dual_full_rt8bps,SOL,dual,full,8,bear_core,15,56570.325695930565,73.33333333333333,1.892047440469782,0.6880172510799207,1,3.50677137210448
sol_dual_full_rt8bps,SOL,dual,full,8,breakout_retest_long,1,-4272.2927791422335,0.0,0.0,,1,-4.711362013565173
sol_dual_full_rt8bps,SOL,dual,full,8,bull_trap_short,2,1088.586123429999,50.0,1.8919793754504244,1.8919793754504244,1,2.2904881363559264
sol_dual_full_rt8bps,SOL,dual,full,8,core_add_long,1,-5335.424595898636,0.0,0.0,,1,-23.722483403332873
sol_dual_full_rt8bps,SOL,dual,full,8,core_long,120,574912.255083681,44.166666666666664,1.504236686138992,1.90158222587382,6,5.112728660168967
sol_dual_full_rt8bps,SOL,dual,full,8,crash_short,18,13175.491670851254,61.111111111111114,2.136398769421578,1.3595264896319132,2,3.1061602529030474
sol_dual_full_rt8bps,SOL,dual,full,8,dip_buy_long,7,21692.80271709594,85.71428571428571,9.308900334801297,1.5514833891335498,1,4.948896064824857
sol_dual_full_rt8bps,SOL,dual,full,8,pullback_struct_long,44,42783.920709750535,52.27272727272727,1.670891301100756,1.5255964053528641,4,2.135030645593822
sol_dual_full_rt8bps,SOL,dual,full,8,sweep_reversal_long,20,-16283.69245054328,20.0,0.43896446367150915,1.7558578546860366,7,1.9066690138321871
