case_id,asset,strategy,window,roundtrip_cost_bps,environment,bars,compounded_return_pct,mean_bps_per_bar,positive_bar_pct,sharpe
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,ranging,10267,331.8046859189753,1.4716998055961323,34.167721827213406,2.246618045438388
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,bull,970,6.558032416561299,0.7247303236081465,44.639175257731964,0.9063456823365682
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,bear,535,-2.4821962877670134,-0.46045028459353315,15.327102803738319,-1.5754702937097944
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,compression,624,9.07066494700899,1.4088140854871083,33.33333333333333,3.5419213245658945
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,high_risk,1775,-41.77283667296688,-2.8753665919349896,26.535211267605636,-2.3050512736741036
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,trend,1505,3.913052891599844,0.30342027351651946,34.21926910299003,0.4561697939212425
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,nontrend,10891,370.9722422041682,1.4680967673675005,34.11991552658158,2.282827696064043
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,high_volatility,1772,-41.97549738889986,-2.8999398430479104,26.467268623024832,-2.3230270694626274
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,low_volatility,5184,95.86249164845226,1.3222415292597027,35.91820987654321,2.743923727982521
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,ranging,10106,895.856760555135,2.3812911040613294,39.51118147635068,2.410567867049446
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,bull,952,-9.986530145179117,-0.9408385693291602,44.747899159663866,-0.7677359170459177
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,bear,618,5.360874088905465,0.8633872326208857,25.88996763754045,2.1067503482668193
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,compression,550,0.8079541778128307,0.18083307131415705,41.45454545454545,0.3217609553204744
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,high_risk,1945,-66.17928268335179,-5.251475326276406,30.488431876606686,-3.079083382211735
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,trend,1570,-5.161021363207341,-0.2306401326379957,37.324840764331206,-0.23337996418439655
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,nontrend,10656,903.9028268570659,2.2677164120557975,39.611486486486484,2.3366513254712813
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,high_volatility,1945,-66.17928268335179,-5.251475326276406,30.488431876606686,-3.079083382211735
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,low_volatility,5135,268.5296286152807,2.6000568097164978,41.5968841285297,3.5190968108308445
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,ranging,8860,761.5393845553614,2.638133272551191,28.600451467268623,1.912195165732777
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,bull,697,6.212848155851547,1.368344918063053,46.34146341463415,0.636940928307364
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,bear,789,-1.7753331113286142,-0.20577633406061518,14.82889733840304,-0.46724624555889716
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,compression,479,1.2628113226083482,0.3656422344256798,29.853862212943632,0.3748231462692374
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,high_risk,1792,-41.73132194224273,-2.497181886789342,20.926339285714285,-1.1453236185532698
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,trend,1486,4.327216294055192,0.5325564470498806,29.609690444145357,0.35375878515243975
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,nontrend,9339,772.4190014522527,2.5215765526387672,28.664739265445977,1.851606461728227
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,high_volatility,1792,-41.73132194224273,-2.497181886789342,20.926339285714285,-1.1453236185532698
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,low_volatility,4410,184.85100172359634,2.4970760082155725,30.0,2.350395489392619
