case_id,asset,strategy,window,roundtrip_cost_bps,environment,bars,compounded_return_pct,mean_bps_per_bar,positive_bar_pct,sharpe
btc_dual_full_rt8bps,BTC,dual,full,8,ranging,10290,467.9022518074398,1.737615263451566,34.31486880466472,2.5763062219107438
btc_dual_full_rt8bps,BTC,dual,full,8,bull,995,18.656426899482238,1.7882257924520475,45.82914572864322,2.251974195553517
btc_dual_full_rt8bps,BTC,dual,full,8,bear,529,-2.8081699473197386,-0.5210510954511761,15.122873345935728,-1.307249720182624
btc_dual_full_rt8bps,BTC,dual,full,8,compression,626,8.560038129074133,1.3279183987184855,34.185303514377,3.4914856438757247
btc_dual_full_rt8bps,BTC,dual,full,8,high_risk,1773,-42.507674758510106,-2.92833832742876,25.606316976875355,-2.214720388629908
btc_dual_full_rt8bps,BTC,dual,full,8,trend,1524,15.324352778727546,0.9866460852992883,35.170603674540686,1.4435347694740153
btc_dual_full_rt8bps,BTC,dual,full,8,nontrend,10916,516.5149010980276,1.7141203717950153,34.307438622205936,2.5927102621534566
btc_dual_full_rt8bps,BTC,dual,full,8,high_volatility,1770,-42.70777785595335,-2.953029127432804,25.536723163841806,-2.231711642522143
btc_dual_full_rt8bps,BTC,dual,full,8,low_volatility,5195,105.31896320826175,1.412409485096432,36.74687199230029,2.8146961861253392
eth_dual_full_rt8bps,ETH,dual,full,8,ranging,10124,956.7904857491069,2.435823664178781,38.20624259186092,2.4663475977766787
eth_dual_full_rt8bps,ETH,dual,full,8,bull,960,14.484995829864399,1.5762171661344373,46.875,1.2753597577565459
eth_dual_full_rt8bps,ETH,dual,full,8,bear,618,4.3893326284520695,0.711494222254092,23.624595469255663,1.8379511524258858
eth_dual_full_rt8bps,ETH,dual,full,8,compression,547,-0.8729816351833564,-0.1268853209586258,40.40219378427788,-0.2294944398009374
eth_dual_full_rt8bps,ETH,dual,full,8,high_risk,1964,-59.899847898605294,-4.333458318241985,29.582484725050918,-2.550781776236848
eth_dual_full_rt8bps,ETH,dual,full,8,trend,1578,19.510123106506416,1.237561412447458,37.76932826362484,1.2453192081690412
eth_dual_full_rt8bps,ETH,dual,full,8,nontrend,10671,947.5648988861549,2.304458111290564,38.318807984256395,2.3753702135611054
eth_dual_full_rt8bps,ETH,dual,full,8,high_volatility,1964,-59.899847898605294,-4.333458318241985,29.582484725050918,-2.550781776236848
eth_dual_full_rt8bps,ETH,dual,full,8,low_volatility,5137,283.4471911974847,2.675477540560168,41.113490364025694,3.6472489552644314
