case_id,asset,strategy,window,roundtrip_cost_bps,year,return_pct,ending_equity,bars,partial_year
eth_dual_full_rt4bps,ETH,dual,full,4,2026,1.0439609243122039,519077.8410003355,1086,True
sol_dual_full_rt4bps,SOL,dual,full,4,2020,-7.993806567030958,92006.19343296904,618,True
sol_dual_full_rt4bps,SOL,dual,full,4,2021,607.372190830658,650826.2261866861,2190,False
sol_dual_full_rt4bps,SOL,dual,full,4,2022,-9.734275401317838,587473.0089456703,2190,False
sol_dual_full_rt4bps,SOL,dual,full,4,2023,26.26725633075544,741786.0500794314,2190,False
sol_dual_full_rt4bps,SOL,dual,full,4,2024,-8.46154188428162,679019.512760202,2196,False
sol_dual_full_rt4bps,SOL,dual,full,4,2025,11.802556617375902,759161.1751967549,2190,False
sol_dual_full_rt4bps,SOL,dual,full,4,2026,5.165110067773937,798372.6854874734,1086,True
btc_dual_full_rt12bps,BTC,dual,full,12,2020,56.566056830042385,156566.0568300424,2172,False
btc_dual_full_rt12bps,BTC,dual,full,12,2021,33.2727459201041,208659.8831162282,2190,False
btc_dual_full_rt12bps,BTC,dual,full,12,2022,6.348966786487775,221907.6297920017,2190,False
btc_dual_full_rt12bps,BTC,dual,full,12,2023,13.0214951037239,250803.320940157,2190,False
btc_dual_full_rt12bps,BTC,dual,full,12,2024,40.77861785381669,353077.448751025,2196,False
btc_dual_full_rt12bps,BTC,dual,full,12,2025,12.872686453020442,398528.00166506844,2190,False
btc_dual_full_rt12bps,BTC,dual,full,12,2026,-1.2081777778854441,393713.07491030014,1086,True
eth_dual_full_rt12bps,ETH,dual,full,12,2020,106.27192500405785,206271.92500405785,2172,False
eth_dual_full_rt12bps,ETH,dual,full,12,2021,89.99056325559714,391897.1921533724,2190,False
eth_dual_full_rt12bps,ETH,dual,full,12,2022,-6.653424248846207,365822.6093400925,2190,False
eth_dual_full_rt12bps,ETH,dual,full,12,2023,11.353627054022631,407356.7440838608,2190,False
eth_dual_full_rt12bps,ETH,dual,full,12,2024,13.217163172455448,461197.7496434264,2196,False
eth_dual_full_rt12bps,ETH,dual,full,12,2025,4.387320585733567,481431.9734544724,2190,False
eth_dual_full_rt12bps,ETH,dual,full,12,2026,0.855465790955301,485550.4592940964,1086,True
sol_dual_full_rt12bps,SOL,dual,full,12,2020,-8.021980803748685,91978.01919625132,618,True
sol_dual_full_rt12bps,SOL,dual,full,12,2021,596.6289648822735,640745.5230460644,2190,False
sol_dual_full_rt12bps,SOL,dual,full,12,2022,-9.81316123130329,577868.1317871965,2190,False
sol_dual_full_rt12bps,SOL,dual,full,12,2023,25.354008014919117,724380.8642361857,2190,False
sol_dual_full_rt12bps,SOL,dual,full,12,2024,-9.865955433490992,652913.7710019067,2196,False
sol_dual_full_rt12bps,SOL,dual,full,12,2025,10.897584198897858,724065.5989430386,2190,False
sol_dual_full_rt12bps,SOL,dual,full,12,2026,5.00874801286133,760332.2202419105,1086,True
btc_dual_full_rt20bps,BTC,dual,full,20,2020,54.65382036512365,154653.82036512365,2172,False
btc_dual_full_rt20bps,BTC,dual,full,20,2021,31.742526444018782,203744.85019120833,2190,False
btc_dual_full_rt20bps,BTC,dual,full,20,2022,6.194903592942391,216366.64723613858,2190,False
btc_dual_full_rt20bps,BTC,dual,full,20,2023,11.29672624116087,240808.99505158342,2190,False
btc_dual_full_rt20bps,BTC,dual,full,20,2024,38.51718912461703,333561.8511046915,2196,False
btc_dual_full_rt20bps,BTC,dual,full,20,2025,11.14236960445847,370728.54541424965,2190,False
btc_dual_full_rt20bps,BTC,dual,full,20,2026,-1.4749463310262834,365260.49833559507,1086,True
eth_dual_full_rt20bps,ETH,dual,full,20,2020,103.32208246703915,203322.08246703914,2172,False
eth_dual_full_rt20bps,ETH,dual,full,20,2021,87.5381838004315,381306.5407239008,2190,False
eth_dual_full_rt20bps,ETH,dual,full,20,2022,-6.801172986148673,355373.22328176885,2190,False
eth_dual_full_rt20bps,ETH,dual,full,20,2023,9.975099682506738,390822.05654906254,2190,False
eth_dual_full_rt20bps,ETH,dual,full,20,2024,11.63737734089343,436303.49400111684,2196,False
eth_dual_full_rt20bps,ETH,dual,full,20,2025,3.412472470953176,451192.2306237118,2190,False
eth_dual_full_rt20bps,ETH,dual,full,20,2026,0.6674000631746058,454203.4878559333,1086,True
sol_dual_full_rt20bps,SOL,dual,full,20,2020,-8.050127159854902,91949.8728401451,618,True
sol_dual_full_rt20bps,SOL,dual,full,20,2021,586.0537388493251,630825.5404870155,2190,False
sol_dual_full_rt20bps,SOL,dual,full,20,2022,-9.89193311400921,568424.6999559528,2190,False
sol_dual_full_rt20bps,SOL,dual,full,20,2023,24.447826065385424,707392.1819138732,2190,False
sol_dual_full_rt20bps,SOL,dual,full,20,2024,-11.248116026212907,627823.8885318417,2196,False
sol_dual_full_rt20bps,SOL,dual,full,20,2025,10.000368544093853,690608.5911928868,2190,False
sol_dual_full_rt20bps,SOL,dual,full,20,2026,4.852712969501782,724121.8438661975,1086,True
