case_id,asset,strategy,window,roundtrip_cost_bps,gross_profit,net_profit,winning_trades,top_1_pnl,top_1_share_gross_profit_pct,top_1_share_net_profit_pct,top_5_pnl,top_5_share_gross_profit_pct,top_5_share_net_profit_pct,top_10_pnl,top_10_share_gross_profit_pct,top_10_share_net_profit_pct,winners_to_50pct_gross_profit,winners_to_80pct_gross_profit
btc_dual_full_causal_guard_rt8bps,BTC,dual,full_causal_guard,8,472619.70037733146,184964.69030299166,161,32945.084070700315,6.970738639205587,17.811553122237978,115608.55488983964,24.461222161822654,62.503040283234945,163496.12790610982,34.59359137496328,88.39315635772749,20,60
eth_dual_full_causal_guard_rt8bps,ETH,dual,full_causal_guard,8,867228.8107815826,222004.0691928413,137,56680.17426812948,6.535780818564706,25.531142052578726,191508.1951757569,22.082775940430505,86.26337160036715,300976.1775461808,34.70550952694118,135.57236975000725,20,50
sol_dual_full_causal_guard_rt8bps,SOL,dual,full_causal_guard,8,1723939.0438652204,430344.29432443297,107,266455.2420633904,15.456186981296897,61.91675957541847,632480.3874662793,36.68809461198835,146.97078497558925,871015.2305241397,50.524711626186516,202.3996232810487,10,28
